Video,Adaptive Threshold,Window Width,Min Content Val,Luma Only,Min Scene Len,Num Scenes Generated,Ground Truth Frame Values,Detected Frame Values,True Positives,False Positives,False Negatives,Precision,Recall,F1 Score,FP Frames,FN Frames,Processing Time (s)
A.mp4,1.5,6,14.0,True,15,13,"0, 405, 451, 519, 569, 659, 702, 728, 967, 978, 1178, 1295, 1398, 1481, 1621, 1630","0, 405, 451, 519, 569, 702, 728, 954, 971, 1295, 1498, 1606, 1625",13,0,3,1.0,0.8125,0.896551724137931,,"659, 1178, 1398",16.44
B.mp4,1.5,6,14.0,True,15,14,"0, 306, 417, 553, 657, 733, 843, 910, 1001, 1013, 1268, 1394, 1673, 1838, 1852","0, 306, 417, 553, 657, 733, 843, 908, 996, 1005, 1370, 1391, 1835, 1846",13,1,2,0.9285714285714286,0.8666666666666667,0.896551724137931,1391,"1268, 1673",16.32
C.mp4,1.5,6,14.0,True,15,6,"0, 376, 922, 931, 1108, 1175, 1265, 1621, 1631, 1681","0, 376, 925, 1238, 1625, 1681",5,1,5,0.8333333333333334,0.5,0.625,1238,"931, 1108, 1175, 1265, 1631",16.39
D.mp4,1.5,6,14.0,True,15,15,"0, 352, 460, 545, 651, 731, 931, 942, 1145, 1398, 1542, 1720, 1732, 1780","0, 352, 460, 545, 651, 685, 731, 926, 935, 1540, 1591, 1638, 1715, 1724, 1780",12,3,2,0.8,0.8571428571428571,0.8275862068965518,"685, 1591, 1638","1145, 1398",16.37
E.mp4,1.5,6,14.0,True,15,24,"0, 56, 85, 144, 413, 657, 803, 901, 947, 1016, 1028, 1212, 1347, 1563, 1710, 1799, 1811","0, 56, 78, 144, 413, 657, 803, 901, 947, 1012, 1021, 1207, 1581, 1590, 1605, 1620, 1633, 1646, 1662, 1691, 1707, 1756, 1794, 1803",16,8,1,0.6666666666666666,0.9411764705882353,0.7804878048780487,"1590, 1605, 1620, 1633, 1646, 1662, 1707, 1756",1347,16.37
F.mp4,1.5,6,14.0,True,15,21,"0, 83, 95, 358, 515, 574, 664, 709, 798, 1036, 1049, 1222, 1413, 1604, 1738, 1750","0, 79, 90, 358, 392, 515, 574, 602, 664, 709, 798, 1033, 1042, 1409, 1546, 1558, 1568, 1578, 1600, 1734, 1743",15,6,1,0.7142857142857143,0.9375,0.8108108108108109,"392, 602, 1546, 1558, 1568, 1578",1222,16.34
G.mp4,1.5,6,14.0,True,15,14,"0, 318, 458, 559, 608, 781, 876, 888, 1262, 1396, 1536, 1744, 1903, 1999","0, 318, 394, 417, 427, 458, 559, 608, 619, 781, 858, 882, 1578, 1990",9,5,5,0.6428571428571429,0.6428571428571429,0.6428571428571429,"394, 417, 427, 619, 1578","1262, 1396, 1536, 1744, 1903",16.38
H.mp4,1.5,6,14.0,True,15,27,"0, 35, 134, 183, 338, 542, 610, 692, 746, 814, 878, 887, 1037, 1207, 1391, 1399, 1484, 1511","0, 35, 133, 183, 338, 410, 420, 510, 535, 692, 712, 722, 742, 814, 837, 867, 878, 923, 943, 958, 1008, 1033, 1215, 1230, 1391, 1484, 1511",16,11,2,0.5925925925925926,0.8888888888888888,0.711111111111111,"410, 420, 510, 712, 742, 837, 923, 943, 958, 1008, 1230","610, 1399",16.39
I.mp4,1.5,6,14.0,True,15,11,"0, 25, 48, 311, 488, 622, 686, 748, 763, 1093, 1107","0, 25, 48, 311, 488, 622, 744, 755, 888, 1088, 1098",10,1,1,0.9090909090909091,0.9090909090909091,0.9090909090909091,888,686,16.39
J.mp4,1.5,6,14.0,True,15,17,"0, 21, 34, 311, 457, 557, 615, 829, 904, 992, 1005, 1176, 1405, 1611, 1756, 1768, 1823, 1920","0, 17, 28, 311, 348, 457, 557, 615, 829, 904, 988, 997, 1178, 1751, 1760, 1823, 1920",16,1,2,0.9411764705882353,0.8888888888888888,0.9142857142857143,348,"1405, 1611",16.39
