Video,Adaptive Threshold,Window Width,Min Content Val,Luma Only,Min Scene Len,Num Scenes Generated,Ground Truth Frame Values,Detected Frame Values,True Positives,False Positives,False Negatives,Precision,Recall,F1 Score,Processing Time (s)
A.mp4,2.00,6,15,False,10,10,"0, 405, 451, 519, 569, 659, 702, 728, 967, 978, 1178, 1295, 1398, 1481, 1621, 1630","0, 405, 519, 569, 659, 702, 728, 954, 974, 1627",10,0,6,1.00,0.62,0.77,3.47
B.mp4,2.00,6,15,False,10,13,"0, 306, 417, 553, 657, 733, 843, 910, 1001, 1013, 1268, 1394, 1673, 1838, 1852","0, 306, 417, 553, 657, 733, 843, 907, 996, 1008, 1391, 1835, 1846",13,0,2,1.00,0.87,0.93,3.58
C.mp4,2.00,6,15,False,10,3,"0, 376, 922, 931, 1108, 1175, 1265, 1621, 1631, 1681","0, 376, 1681",3,0,7,1.00,0.30,0.46,3.67
D.mp4,2.00,6,15,False,10,11,"0, 352, 460, 545, 651, 731, 931, 942, 1145, 1398, 1542, 1720, 1732, 1780","0, 352, 460, 545, 651, 731, 926, 937, 1716, 1727, 1780",11,0,3,1.00,0.79,0.88,3.55
E.mp4,2.00,6,15,False,10,12,"0, 56, 85, 144, 413, 657, 803, 901, 947, 1016, 1028, 1212, 1347, 1563, 1710, 1799, 1811","0, 56, 85, 144, 413, 657, 803, 901, 947, 1012, 1023, 1806",12,0,5,1.00,0.71,0.83,3.48
F.mp4,2.00,6,15,False,10,13,"0, 83, 95, 358, 515, 574, 664, 709, 798, 1036, 1049, 1222, 1413, 1604, 1738, 1750","0, 79, 90, 358, 394, 515, 574, 664, 709, 798, 1044, 1734, 1745",12,1,4,0.92,0.75,0.83,3.51
G.mp4,2.00,6,15,False,10,9,"0, 318, 458, 559, 608, 781, 876, 888, 1262, 1396, 1536, 1744, 1903, 1999","0, 318, 458, 559, 608, 781, 858, 1580, 1990",8,1,6,0.89,0.57,0.70,3.69
H.mp4,2.00,6,15,False,10,13,"0, 35, 134, 183, 338, 542, 610, 692, 746, 814, 878, 887, 1037, 1207, 1391, 1399, 1484, 1511","0, 35, 133, 183, 338, 542, 692, 746, 814, 883, 1396, 1484, 1511",13,0,5,1.00,0.72,0.84,3.53
I.mp4,2.00,6,15,False,10,11,"0, 25, 48, 311, 488, 622, 686, 748, 763, 1093, 1107","0, 25, 48, 311, 488, 622, 744, 755, 888, 1090, 1102",10,1,1,0.91,0.91,0.91,3.62
J.mp4,2.00,6,15,False,10,15,"0, 21, 34, 311, 457, 557, 615, 829, 904, 992, 1005, 1176, 1405, 1611, 1756, 1768, 1823, 1920","0, 17, 28, 311, 457, 557, 615, 829, 904, 988, 999, 1751, 1763, 1823, 1920",15,0,3,1.00,0.83,0.91,3.72
