Video,Threshold,Bins,Min Scene Len,Num Scenes Generated,Ground Truth Frame Values,Detected Frame Values,True Positives,False Positives,False Negatives,Precision,Recall,F1 Score,FP Frames,FN Frames,Processing Time (s)
A.mp4,0.05,128,10,18,"0, 405, 451, 519, 569, 659, 702, 728, 967, 978, 1178, 1295, 1398, 1481, 1621, 1630","0, 405, 451, 519, 569, 654, 702, 728, 956, 966, 976, 1175, 1294, 1397, 1475, 1606, 1617, 1627",16,2,0,0.8888888888888888,1.0,0.9411764705882353,"976, 1627",,15.73
B.mp4,0.05,128,10,29,"0, 306, 417, 553, 657, 733, 843, 910, 1001, 1013, 1268, 1394, 1673, 1838, 1852","0, 306, 358, 384, 415, 528, 553, 573, 584, 608, 656, 675, 733, 752, 800, 843, 904, 995, 1005, 1265, 1304, 1328, 1341, 1352, 1376, 1391, 1668, 1835, 1845",15,14,0,0.5172413793103449,1.0,0.6818181818181819,"358, 384, 553, 573, 584, 608, 675, 752, 800, 1304, 1328, 1341, 1352, 1391",,16.51
C.mp4,0.05,128,10,11,"0, 376, 922, 931, 1108, 1175, 1265, 1621, 1631, 1681","0, 376, 914, 924, 1103, 1168, 1178, 1260, 1613, 1623, 1681",10,1,0,0.9090909090909091,1.0,0.9523809523809523,1178,,16.57
D.mp4,0.05,128,10,16,"0, 352, 460, 545, 651, 731, 931, 942, 1145, 1398, 1542, 1720, 1732, 1780","0, 352, 363, 385, 451, 545, 651, 731, 925, 935, 1145, 1393, 1538, 1715, 1725, 1780",14,2,0,0.875,1.0,0.9333333333333333,"363, 385",,16.41
E.mp4,0.05,128,10,21,"0, 56, 85, 144, 413, 657, 803, 901, 947, 1016, 1028, 1212, 1347, 1563, 1710, 1799, 1811","0, 56, 85, 144, 413, 424, 559, 572, 657, 803, 901, 947, 1011, 1021, 1208, 1343, 1560, 1707, 1724, 1794, 1804",17,4,0,0.8095238095238095,1.0,0.8947368421052632,"424, 559, 572, 1724",,16.40
F.mp4,0.05,128,10,28,"0, 83, 95, 358, 515, 574, 664, 709, 798, 1036, 1049, 1222, 1413, 1604, 1738, 1750","0, 79, 89, 358, 391, 425, 437, 447, 466, 477, 488, 499, 515, 574, 664, 709, 798, 912, 956, 968, 1010, 1027, 1037, 1218, 1408, 1600, 1733, 1743",16,12,0,0.5714285714285714,1.0,0.7272727272727273,"391, 425, 437, 447, 466, 477, 488, 515, 912, 956, 968, 1010",,16.46
G.mp4,0.05,128,10,14,"0, 318, 458, 559, 608, 781, 876, 888, 1262, 1396, 1536, 1744, 1903, 1999","0, 318, 458, 559, 608, 858, 874, 885, 1391, 1524, 1576, 1738, 1897, 1990",12,2,2,0.8571428571428571,0.8571428571428571,0.8571428571428571,"885, 1576","781, 1262",16.38
H.mp4,0.05,128,10,22,"0, 35, 134, 183, 338, 542, 610, 692, 746, 814, 878, 887, 1037, 1207, 1391, 1399, 1484, 1511","0, 35, 133, 182, 338, 364, 410, 541, 603, 692, 745, 857, 867, 878, 1029, 1192, 1206, 1378, 1390, 1484, 1494, 1511",17,5,1,0.7727272727272727,0.9444444444444444,0.85,"364, 410, 878, 1206, 1511",814,16.31
I.mp4,0.05,128,10,13,"0, 25, 48, 311, 488, 622, 686, 748, 763, 1093, 1107","0, 25, 48, 311, 326, 424, 456, 488, 622, 634, 751, 1090, 1100",9,4,2,0.6923076923076923,0.8181818181818182,0.7500000000000001,"326, 424, 456, 634","686, 763",16.49
J.mp4,0.05,128,10,25,"0, 21, 34, 311, 457, 557, 615, 829, 904, 992, 1005, 1176, 1405, 1611, 1756, 1768, 1823, 1920","0, 17, 27, 311, 330, 347, 457, 474, 557, 829, 904, 987, 997, 1173, 1191, 1201, 1340, 1350, 1380, 1400, 1606, 1750, 1760, 1823, 1920",17,8,1,0.68,0.9444444444444444,0.7906976744186047,"330, 347, 474, 1191, 1201, 1340, 1350, 1400",615,16.25
